Date,Sleep Hours
1 ,8.66
2 ,8.28
3 ,3.5
4 ,5.88
5 ,8
6 ,8.09
7 ,6.96
8 ,7.96
9 ,8.33
10 ,7.52
11 ,9.5
12 ,11
13 ,1.38
14 ,6.16
15 ,7.91
16 ,7.56
17 ,8.48
18 ,7.61
19 ,7.9
20 ,9.25
21 ,8.25
22 ,7.91
23 ,7.85
24 ,9.83
